icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,65202,LAGOS/OSHODI,,NI,6.5,3.3833,19,5,65202
,,65257,ENUGU,,NI,6.4667,7.55,137,5,65257
,,6235,DE KOOIJ VK,,NL,52.9269,4.7811,1,5,6235
,,6260,RADAR 6260 [181] [NL],,NL,52.1019,5.1783,2,5,6260
,,78866,JULIANA AIRPORT; ST. MAARTEN,,NN,18.0385,-63.1192,3,5,78866
,,1010,ANDOYA,,NO,69.3073,16.1312,10,5,1010
,,1152,BODO VI,,NO,67.2669,14.3586,11,5,1152
,,1206,RADAR STAD,,NO,62.1869,5.1272,495,5,1206
,,1241,ORLAND III,,NO,63.7045,9.6105,10,5,1241
,,1400,EKOFISK,,NO,56.5422,3.2236,50,5,1400
,,1415,STAVANGER/SOLA,,NO,58.8725,5.6645,33,5,1415
,,1492,OSLO-BLINDERN,,NO,59.9422,10.72,94,5,1492
,,91532,NAURU ARC-2,,NR,-0.5167,166.9167,7,5,91532
,,93112,WHENUAPAI,,NZ,-36.7928,174.6214,30,5,93112
,,93291,GISBORNE AERODROME,,NZ,-38.6667,177.9833,5,5,93291
,,93308,NEW PLYMOUTH AERODROME,,NZ,-39.0167,174.1833,28,5,93308
,,93417,PARAPARAUMU AERODROME,,NZ,-40.9044,174.9839,6,5,93417
,,93614,HOKITIKA AERODROME,,NZ,-42.7167,170.9833,45,5,93614
,,93817,LAUDER OBSERVATORY,,NZ,-45.0385,169.6843,371,5,93817
,,93844,INVERCARGILL AIRPORT,,NZ,-46.4108,168.3178,2,5,93844
,,93986,CHATHAM ISLAND,,NZ,-43.95,-176.5667,44,5,93986
,,93997,RAOUL ISLAND,,NZ,-29.2447,-177.9288,47,5,93997
,,86218,AEROPUERTO SILVIO PETTIROSSI;,,PA,-25.2358,-57.5147,83,5,86218
,,84378,MORONA,,PE,-3.7333,-73.25,117,5,84378
,,84416,PIURA GRUP7,,PE,-5.1833,-80.6,52,5,84416
,,84628,LIMA/CALLAO,,PE,-12.0167,-77.1167,12,5,84628
,,59981,XISHA DAO,,PF,16.8333,112.3333,5,5,59981
,,41506,CHITRAL,,PK,35.9217,71.8,1499,5,41506
,,41515,DROSH,,PK,35.5667,71.7833,1464,5,41515
,,41516,GILGIT,,PK,35.9167,74.3333,1453,5,41516
,,41529,PESHAWAR,,PK,34.0333,71.9333,329,5,41529
,,41598,JHELUM,,PK,32.9333,73.7167,232,5,41598
,,41600,SIALKOT,,PK,32.5,74.5333,255,5,41600
